"","x"
"GO:0000002","GO:0000045"
"GO:0000003","GO:0000165"
"GO:0000012","GO:0000209"
"GO:0000017","GO:0000381"
"GO:0000018","GO:0000398"
"GO:0000022","GO:0000902"
"GO:0000023","GO:0001558"
"GO:0000027","GO:0001843"
"GO:0000028","GO:0002250"
"GO:0000038","GO:0005975"
"GO:0000045","GO:0006120"
"GO:0000050","GO:0006260"
"GO:0000052","GO:0006281"
"GO:0000053","GO:0006302"
"GO:0000054","GO:0006325"
"GO:0000055","GO:0006334"
"GO:0000056","GO:0006338"
"GO:0000070","GO:0006354"
"GO:0000076","GO:0006355"
"GO:0000077","GO:0006364"
"GO:0000079","GO:0006396"
"GO:0000080","GO:0006397"
"GO:0000082","GO:0006406"
"GO:0000083","GO:0006413"
"GO:0000086","GO:0006417"
"GO:0000098","GO:0006468"
"GO:0000103","GO:0006470"
"GO:0000105","GO:0006486"
"GO:0000117","GO:0006487"
"GO:0000122","GO:0006511"
"GO:0000132","GO:0006606"
"GO:0000154","GO:0006629"
"GO:0000165","GO:0006886"
"GO:0000183","GO:0006887"
"GO:0000184","GO:0006888"
"GO:0000209","GO:0006890"
"GO:0000212","GO:0006897"
"GO:0000226","GO:0006913"
"GO:0000244","GO:0006914"
"GO:0000245","GO:0006915"
"GO:0000255","GO:0006935"
"GO:0000266","GO:0006954"
"GO:0000278","GO:0006974"
"GO:0000281","GO:0006979"
"GO:0000288","GO:0007005"
"GO:0000289","GO:0007030"
"GO:0000290","GO:0007049"
"GO:0000291","GO:0007059"
"GO:0000294","GO:0007156"
"GO:0000296","GO:0007163"
"GO:0000301","GO:0007169"
"GO:0000302","GO:0007219"
"GO:0000303","GO:0007268"
"GO:0000304","GO:0007283"
"GO:0000338","GO:0007399"
"GO:0000349","GO:0007409"
"GO:0000350","GO:0007420"
"GO:0000354","GO:0007507"
"GO:0000375","GO:0007605"
"GO:0000379","GO:0008150"
"GO:0000380","GO:0008203"
"GO:0000381","GO:0008286"
"GO:0000387","GO:0008360"
"GO:0000388","GO:0008380"
"GO:0000389","GO:0009615"
"GO:0000395","GO:0010467"
"GO:0000398","GO:0010506"
"GO:0000413","GO:0010628"
"GO:0000416","GO:0010976"
"GO:0000422","GO:0015031"
"GO:0000423","GO:0016192"
"GO:0000430","GO:0016236"
"GO:0000432","GO:0016241"
"GO:0000435","GO:0016310"
"GO:0000447","GO:0016485"
"GO:0000448","GO:0016567"
"GO:0000451","GO:0016573"
"GO:0000453","GO:0016575"
"GO:0000454","GO:0016579"
"GO:0000455","GO:0018105"
"GO:0000460","GO:0018107"
"GO:0000461","GO:0018108"
"GO:0000462","GO:0021766"
"GO:0000463","GO:0022900"
"GO:0000466","GO:0030182"
"GO:0000467","GO:0030183"
"GO:0000469","GO:0030334"
"GO:0000470","GO:0030335"
"GO:0000479","GO:0030433"
"GO:0000480","GO:0031647"
"GO:0000492","GO:0032088"
"GO:0000494","GO:0032091"
"GO:0000495","GO:0032092"
"GO:0000512","GO:0032147"
"GO:0000578","GO:0032436"
"GO:0000706","GO:0032456"
"GO:0000707","GO:0032508"
"GO:0000710","GO:0032543"
"GO:0000712","GO:0032755"
"GO:0000720","GO:0032760"
"GO:0000722","GO:0032880"
"GO:0000723","GO:0032922"
"GO:0000724","GO:0032981"
"GO:0000725","GO:0034220"
"GO:0000727","GO:0034599"
"GO:0000729","GO:0034644"
"GO:0000731","GO:0034976"
"GO:0000737","GO:0035019"
"GO:0000738","GO:0035556"
"GO:0000819","GO:0042102"
"GO:0000821","GO:0042147"
"GO:0000902","GO:0042742"
"GO:0000904","GO:0042981"
"GO:0000915","GO:0043086"
"GO:0000916","GO:0043087"
"GO:0000917","GO:0043123"
"GO:0000921","GO:0043161"
"GO:0000956","GO:0043406"
"GO:0000957","GO:0043547"
"GO:0000958","GO:0045087"
"GO:0000959","GO:0045727"
"GO:0000961","GO:0045732"
"GO:0000962","GO:0045860"
"GO:0000963","GO:0045893"
"GO:0000964","GO:0046330"
"GO:0000965","GO:0046718"
"GO:0000971","GO:0046777"
"GO:0000972","GO:0048511"
"GO:0000973","GO:0050680"
"GO:0001100","GO:0050727"
"GO:0001172","GO:0050790"
"GO:0001174","GO:0050852"
"GO:0001188","GO:0051028"
"GO:0001193","GO:0051091"
"GO:0001501","GO:0051092"
"GO:0001502","GO:0051260"
"GO:0001503","GO:0051607"
"GO:0001504","GO:0051865"
"GO:0001505","GO:0055085"
"GO:0001508","GO:0060271"
"GO:0001510","GO:0065003"
"GO:0001514","GO:0070936"
"GO:0001516","GO:0071260"
"GO:0001519","GO:0071466"
"GO:0001522","GO:0072659"
"GO:0001523","GO:0090398"
"GO:0001525","GO:0090630"
"GO:0001541","GO:0097190"
"GO:0001542","GO:0098586"
"GO:0001545","GO:1901224"
"GO:0001546","GO:1990830"
"GO:0001547","GO:2000045"
"GO:0001550","GO:0000139"
"GO:0001553","GO:0000151"
"GO:0001554","GO:0000502"
"GO:0001555","GO:0000776"
"GO:0001556","GO:0000781"
"GO:0001558","GO:0000786"
"GO:0001560","GO:0000791"
"GO:0001561","GO:0000792"
"GO:0001562","GO:0001650"
"GO:0001568","GO:0001726"
"GO:0001569","GO:0005635"
"GO:0001570","GO:0005643"
"GO:0001573","GO:0005681"
"GO:0001574","GO:0005694"
"GO:0001578","GO:0005730"
"GO:0001579","GO:0005741"
"GO:0001580","GO:0005743"
"GO:0001649","GO:0005747"
"GO:0001654","GO:0005758"
"GO:0001655","GO:0005759"
"GO:0001656","GO:0005762"
"GO:0001657","GO:0005764"
"GO:0001658","GO:0005765"
"GO:0001659","GO:0005768"
"GO:0001661","GO:0005769"
"GO:0001662","GO:0005770"
"GO:0001666","GO:0005776"
"GO:0001667","GO:0005777"
"GO:0001675","GO:0005778"
"GO:0001676","GO:0005793"
"GO:0001678","GO:0005802"
"GO:0001682","GO:0005813"
"GO:0001692","GO:0005814"
"GO:0001695","GO:0005815"
"GO:0001696","GO:0005884"
"GO:0001701","GO:0005887"
"GO:0001702","GO:0005905"
"GO:0001704","GO:0005911"
"GO:0001706","GO:0005929"
"GO:0001707","GO:0008021"
"GO:0001708","GO:0010008"
"GO:0001709","GO:0010494"
"GO:0001711","GO:0012505"
"GO:0001731","GO:0014069"
"GO:0001732","GO:0016328"
"GO:0001736","GO:0016604"
"GO:0001738","GO:0016605"
"GO:0001754","GO:0016607"
"GO:0001755","GO:0017053"
"GO:0001756","GO:0030018"
"GO:0001757","GO:0030054"
"GO:0001759","GO:0030133"
"GO:0001763","GO:0030136"
"GO:0001764","GO:0030139"
"GO:0001765","GO:0030173"
"GO:0001766","GO:0030176"
"GO:0001768","GO:0030425"
"GO:0001771","GO:0030426"
"GO:0001773","GO:0030496"
"GO:0001774","GO:0030659"
"GO:0001775","GO:0030669"
"GO:0001778","GO:0030672"
"GO:0001779","GO:0031234"
"GO:0001780","GO:0031252"
"GO:0001782","GO:0031410"
"GO:0001783","GO:0031902"
"GO:0001787","GO:0031965"
"GO:0001788","GO:0032580"
"GO:0001798","GO:0032587"
"GO:0001806","GO:0032588"
"GO:0001811","GO:0032991"
"GO:0001814","GO:0033116"
"GO:0001816","GO:0034451"
"GO:0001817","GO:0035577"
"GO:0001818","GO:0035579"
"GO:0001819","GO:0036064"
"GO:0001821","GO:0043025"
"GO:0001822","GO:0043197"
"GO:0001823","GO:0043204"
"GO:0001824","GO:0043231"
"GO:0001825","GO:0045177"
"GO:0001826","GO:0045202"
"GO:0001827","GO:0046540"
"GO:0001828","GO:0048471"
"GO:0001829","GO:0070161"
"GO:0001831","GO:0071005"
"GO:0001832","GO:0071013"
"GO:0001833","GO:0098793"
"GO:0001834","GO:0098794"
"GO:0001835","GO:0098978"
"GO:0001836","GO:0000049"
"GO:0001837","GO:0000149"
"GO:0001838","GO:0000287"
"GO:0001839","GO:0000976"
"GO:0001840","GO:0001618"
"GO:0001841","GO:0003677"
"GO:0001843","GO:0003682"
"GO:0001844","GO:0003684"
"GO:0001845","GO:0003690"
"GO:0001865","GO:0003712"
"GO:0001867","GO:0003713"
"GO:0001869","GO:0003729"
"GO:0001878","GO:0003735"
"GO:0001879","GO:0003743"
"GO:0001880","GO:0003924"
"GO:0001881","GO:0004175"
"GO:0001885","GO:0004197"
"GO:0001886","GO:0004222"
"GO:0001887","GO:0004672"
"GO:0001889","GO:0004674"
"GO:0001890","GO:0004713"
"GO:0001892","GO:0004725"
"GO:0001893","GO:0004842"
"GO:0001894","GO:0004843"
"GO:0001895","GO:0004930"
"GO:0001906","GO:0005080"
"GO:0001909","GO:0005125"
"GO:0001910","GO:0005525"
"GO:0001913","GO:0005543"
"GO:0001915","GO:0005546"
"GO:0001916","GO:0008013"
"GO:0001919","GO:0008017"
"GO:0001920","GO:0008022"
"GO:0001921","GO:0008047"
"GO:0001922","GO:0008134"
"GO:0001928","GO:0008137"
"GO:0001932","GO:0008270"
"GO:0001933","GO:0009055"
"GO:0001934","GO:0016301"
"GO:0001935","GO:0016491"
"GO:0001937","GO:0016787"
"GO:0001938","GO:0016887"
"GO:0001942","GO:0017018"
"GO:0001944","GO:0017124"
"GO:0001945","GO:0019003"
"GO:0001946","GO:0019899"
"GO:0001947","GO:0019900"
"GO:0001951","GO:0019903"
"GO:0001952","GO:0019904"
"GO:0001953","GO:0019905"
"GO:0001954","GO:0022857"
"GO:0001955","GO:0030145"
"GO:0001957","GO:0030165"
"GO:0001958","GO:0030246"
"GO:0001959","GO:0030374"
"GO:0001960","GO:0030527"
