"","x"
"GO:0000002","GO:0000122"
"GO:0000003","GO:0000278"
"GO:0000012","GO:0008285"
"GO:0000017","GO:0009887"
"GO:0000018","GO:0016055"
"GO:0000022","GO:0042127"
"GO:0000023","GO:0043524"
"GO:0000027","GO:0051056"
"GO:0000028","GO:0051301"
"GO:0000038","GO:0051726"
"GO:0000045","GO:0005819"
"GO:0000050","GO:0005874"
"GO:0000052","GO:0015630"
"GO:0000053","GO:0030496"
"GO:0000054","GO:0072686"
"GO:0000055","GO:0000976"
"GO:0000056","GO:0001228"
"GO:0000070","GO:0003682"
"GO:0000076","GO:0003700"
"GO:0000077","GO:0008017"
"GO:0000079","GO:1990837"
