"","x"
"GO:0000002","GO:0000122"
"GO:0000003","GO:0001701"
"GO:0000012","GO:0001764"
"GO:0000017","GO:0001933"
"GO:0000018","GO:0007264"
"GO:0000022","GO:0007266"
"GO:0000023","GO:0007517"
"GO:0000027","GO:0007623"
"GO:0000028","GO:0008285"
"GO:0000038","GO:0009887"
"GO:0000045","GO:0010629"
"GO:0000050","GO:0014068"
"GO:0000052","GO:0016055"
"GO:0000053","GO:0030509"
"GO:0000054","GO:0032355"
"GO:0000055","GO:0032868"
"GO:0000056","GO:0032956"
"GO:0000070","GO:0043627"
"GO:0000076","GO:0051056"
"GO:0000077","GO:0060548"
"GO:0000079","GO:0017053"
"GO:0000080","GO:0030426"
"GO:0000082","GO:0043235"
"GO:0000083","GO:0000976"
"GO:0000086","GO:0000978"
"GO:0000098","GO:0000981"
"GO:0000103","GO:0001222"
"GO:0000105","GO:0001227"
"GO:0000117","GO:0001228"
"GO:0000122","GO:0003700"
"GO:0000132","GO:0005085"
"GO:0000154","GO:0005096"
"GO:0000165","GO:0008013"
"GO:0000183","GO:1990837"
