"","x"
"GO:0000002","GO:0000902"
"GO:0000003","GO:0006006"
"GO:0000012","GO:0006487"
"GO:0000017","GO:0006629"
"GO:0000018","GO:0006888"
"GO:0000022","GO:0006898"
"GO:0000023","GO:0006919"
"GO:0000027","GO:0008203"
"GO:0000028","GO:0010628"
"GO:0000038","GO:0030307"
"GO:0000045","GO:0030433"
"GO:0000050","GO:0030968"
"GO:0000052","GO:0032092"
"GO:0000053","GO:0034976"
"GO:0000054","GO:0042060"
"GO:0000055","GO:0042742"
"GO:0000056","GO:0042981"
"GO:0000070","GO:0043406"
"GO:0000076","GO:0045732"
"GO:0000077","GO:0045785"
"GO:0000079","GO:0071363"
"GO:0000080","GO:0071364"
"GO:0000082","GO:0005793"
"GO:0000083","GO:0009898"
"GO:0000086","GO:0010008"
"GO:0000098","GO:0030133"
"GO:0000103","GO:0030669"
"GO:0000105","GO:0033116"
"GO:0000117","GO:0035577"
"GO:0000122","GO:0035578"
"GO:0000132","GO:0042470"
"GO:0000154","GO:0098978"
"GO:0000165","GO:0008022"
"GO:0000183","GO:0019903"
