"","x"
"GO:0000002","GO:0006469"
"GO:0000003","GO:0006886"
"GO:0000012","GO:0006887"
"GO:0000017","GO:0006890"
"GO:0000018","GO:0006914"
"GO:0000022","GO:0009952"
"GO:0000023","GO:0010629"
"GO:0000027","GO:0016192"
"GO:0000028","GO:0016567"
"GO:0000038","GO:0030968"
"GO:0000045","GO:0031175"
"GO:0000050","GO:0032091"
"GO:0000052","GO:0032092"
"GO:0000053","GO:0032456"
"GO:0000054","GO:0032869"
"GO:0000055","GO:0045732"
"GO:0000056","GO:0072659"
"GO:0000070","GO:0005776"
"GO:0000076","GO:0005929"
"GO:0000077","GO:0012505"
"GO:0000079","GO:0016324"
"GO:0000080","GO:0030139"
"GO:0000082","GO:0030672"
"GO:0000083","GO:0031410"
"GO:0000086","GO:0098794"
"GO:0000098","GO:0098978"
"GO:0000103","GO:1904115"
"GO:0000105","GO:0000149"
"GO:0000117","GO:0031625"
"GO:0000122","GO:0044325"
